Big Data Analyst,"SQL, Oracle, SPSS, SAS",English,"8,000 - 11,200", Kuala Lumpur,5
Programmer Analyst,"JAVA, .NET","English, Malay","2,000 - 3,500", Kuala Lumpur,0
"Senior Analyst, Cybersecurity","CEH, Security +, ITILv3, CCNA Security ",English,"6,000 - 7,500", Kuala Lumpur,5
Programmer Analyst,PHP,"English, Malay, Mandarin","2,500 - 5,000", Kuala Lumpur,0
Technical Analyst at EDQ,"JAVA, C#, .Nodejs",English,"5,000 - 8,000",Selangor,3
Business Analyst - Finance,"SPSS, Spreadsheet",English,"6,000 - 7,500",Selangor,5
System Analyst,"C# &amp, ASP .Net","English, Mandarin","2,800 - 3,000",Penang,0
Software QA Analyst,"C#, JAVA, HTML, PHP",English,"4,000 - 5,500",Selangor,2
Data Analyst cum Business Intelligence,"Statistics, Data Science",English,"4,000 - 6,000",Melaka,2
Data Analyst,Oracle,English,"8,000 - 11,200",Johor,5
Junior Accounting Data Analyst,SQL,"English, Malay","2,800 - 3,000",Penang,0
E-Commerce Data Analyst Executive,"Mathematics, E-Commerce",English,"3,500 - 3,900",Kuala Lumpur,2
SOCIAL MEDIA ANALYST,Google Analytics,English,"2,000 - 2,500",Kuala Lumpur,0
Analyst Programmer,C#,English,"3,500 - 3,900",Selangor,2
Business and Data Analyst,"Mathematics, Statistics","English, Mandarin","5,000 - 6,000", Selangor,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
